t_ps,Te_1p0mW,Tl_1p0mW,Ts_1p0mW,Te_2p0mW,Tl_2p0mW,Ts_2p0mW,Te_2p5mW,Tl_2p5mW,Ts_2p5mW,Te_3p0mW,Tl_3p0mW,Ts_3p0mW,Te_3p5mW,Tl_3p5mW,Ts_3p5mW,Te_4p0mW,Tl_4p0mW,Ts_4p0mW
74.0,8.72630458629305,10.128268916057078,7.750405112442388,14.681863747949508,19.10755258971824,10.568726891608929,16.880609843546296,21.212042693617608,11.92135890610408,18.917378571736826,22.854729224435992,13.132042728094584,21.341133088005822,24.862889536796207,14.23267829177704,25.370227082988304,27.5639347138243,18.364473977969343
74.25,8.703650491167261,10.072391084252654,7.749956902130663,14.664318941049356,19.06691359854494,10.569123797216509,16.86226469416094,21.17208839384967,11.921825536941164,18.897443135543163,22.814768471795873,13.132278798399058,21.320738082128155,24.824879038353018,14.232729547462991,25.353737839768367,27.53425992817861,18.378247158430558
74.5,8.681135443052298,10.016935299804734,7.749492637911187,14.64674329492286,19.02628270458194,10.569508746006983,16.843882544467792,21.132154866216272,11.922279048547875,18.87746304249011,22.77483888524167,13.132501650685962,21.300285474845072,24.786904904967805,14.232768419100761,25.337187333455113,27.504637291377342,18.39190616017067
74.75,8.658766728892658,9.96191897873842,7.749012453519289,14.629137099746824,18.98566000552628,10.569881751603035,16.825463811089733,21.092242210645562,11.922719459947881,18.857438856139673,22.734940502192146,13.132711310659735,21.27977603607007,24.748967079090843,14.232794947332637,25.320577094760843,27.475066557909944,18.405451980477356
75.0,8.63655168947998,9.907359708598749,7.748516487637625,14.611500647077477,18.945045608591748,10.57024282761184,16.8070089104282,21.052350518963443,11.92314679015988,18.83737113805449,22.695073364491744,13.132907803953918,21.25921052903119,24.71106549865716,14.232809172501591,25.30390862684531,27.44554748778637,18.41888559847259
75.25,8.614497734313508,9.853275266769007,7.748004883940931,14.593834230347916,18.90443963073344,10.570591987627843,16.78851825620093,21.012479867903743,11.923561058194947,18.817260447957405,22.655237518468695,13.133091156133467,21.23858971031452,24.67320010394091,14.232811134653412,25.287183405775277,27.41607984640196,18.43220797556589
75.5,8.592612341021598,9.799683534988754,7.747477791139078,14.576138145261822,18.86384219887744,10.57092924523568,16.769992259048635,20.97263033831578,11.923962283055689,18.797107343873552,22.615433014979917,13.133261392697108,21.217914330154336,24.635370837711815,14.232800873539391,25.270402880979177,27.386663404405738,18.445420055896786
75.75,8.570903014972624,9.746602243292177,7.746935362987044,14.558412690113554,18.823253450155338,10.571254614013222,16.75143132739968,20.932802016937938,11.924350483737358,18.776912382004184,22.5756599021231,13.133418539079226,21.197185132688226,24.597577645251338,14.232778428619048,25.253568475696838,27.357297937572124,18.458522766766617
76.0,8.549377256423607,9.69404910037954,7.746377758265688,14.540658166031225,18.782673530918263,10.571568107534688,16.732835868183297,20.892994996496963,11.92472567922924,18.75667611507822,22.53591821311953,13.133562620648663,21.176402856181344,24.559820474369314,14.232743839062868,25.236681587423828,27.327983226675904,18.471517019059675
76.25,8.528042569809305,9.642041840228222,7.745805140778929,14.522874875604025,18.742102572213856,10.57186973937213,16.714206287395967,20.853209375809797,11.92508788851619,18.736399091536253,22.496207982429468,13.13369366270814,21.155568233224585,24.52209927542102,14.232697143755036,25.21974358835041,27.29871905737042,18.48440370765379
